Date/Time,TSP,WSP,CONTROL,CHANNEL 1,CHANNEL 2,CHANNEL 3,CHANNEL 4,CHANNEL 5,CHANNEL 6,CHANNEL 7,CHANNEL 8
42767.7979758102,1065,1065,1065.05334472656,1054.63562011719,1059.45483398438,82.8889007568359,83.0891494750977,82.4437866210938,85.5755004882813,83.1191024780273,81.3313140869141
42767.7983326968,1065,1065,1065.02270507813,1054.63317871094,1059.50134277344,82.7625579833984,82.9841995239258,82.2550048828125,85.4539031982422,82.906623840332,81.1978454589844
42767.7985712037,1065,1065,1064.9638671875,1054.66040039063,1059.48962402344,82.7530670166016,82.93505859375,82.2044448852539,85.3137435913086,82.7946166992188,81.0183868408203
42767.7989287847,1065,1065,1065.03039550781,1054.68286132813,1059.48303222656,82.5429611206055,82.7839965820313,82.0300140380859,85.1397933959961,82.6641616821289,80.8994522094727
42767.7992953009,1065,1065,1065.00219726563,1054.76135253906,1059.54504394531,82.4842071533203,82.6334609985352,81.8970260620117,85.0241470336914,82.548210144043,80.7430191040039
42767.7996523727,1065,1065,1065.03381347656,1054.73901367188,1059.58129882813,82.3571548461914,82.5775833129883,81.6631622314453,84.7737426757813,82.3342590332031,80.537223815918
42767.8000082870,1065,1065,1065.04663085938,1054.75549316406,1059.54968261719,82.2262115478516,82.5783767700195,81.614631652832,84.6918258666992,82.3003997802734,80.4388885498047
42767.8003672801,1065,1065,1065.02026367188,1054.78332519531,1059.55944824219,82.1678695678711,82.482551574707,81.5538177490234,84.5544967651367,82.1569671630859,80.3004455566406
42767.8007230093,1065,1065,1065.07629394531,1054.78186035156,1059.59631347656,82.1309204101563,82.4009552001953,81.4616012573242,84.4351272583008,82.046142578125,80.1435165405273
42767.8010806597,1065,1065,1065.06958007813,1054.796875,1059.53674316406,82.0138626098633,82.3869552612305,81.3950576782227,84.340202331543,82.0186462402344,80.1075210571289
42767.8014361921,1065,1065,1065.0029296875,1054.80969238281,1059.60717773438,81.9770278930664,82.2694091796875,81.2930221557617,84.2979507446289,81.8873901367188,79.9148864746094
42767.8017950000,1065,1065,1065.05737304688,1054.86120605469,1059.56286621094,81.922607421875,82.2883987426758,81.2039947509766,84.1364212036133,81.8137969970703,79.8282928466797
